"profile","scenario","metric","Baseline","MeanField","Difference","ChangePercent","PValue"
"balanced","high_congestion","resource_utilization","0.8263","0.8367","0.0105","1.27","0.0113"
"balanced","moderate_congestion","resource_utilization","0.7412","0.7507","0.0095","1.28","0.0017"
"balanced","moderate_congestion","load_variance","0.0256","0.0282","0.0026","10.12","0.0285"
"priority_latency","high_congestion","resource_utilization","0.8263","0.8367","0.0105","1.27","0.0113"
"priority_latency","moderate_congestion","resource_utilization","0.7412","0.7507","0.0095","1.28","0.0017"
"priority_latency","moderate_congestion","load_variance","0.0256","0.0282","0.0026","10.12","0.0285"
"priority_latency_queue","high_congestion","resource_utilization","0.8263","0.8367","0.0105","1.27","0.0113"
"priority_latency_queue","moderate_congestion","resource_utilization","0.7412","0.7507","0.0095","1.28","0.0017"
"priority_latency_queue","moderate_congestion","load_variance","0.0256","0.0282","0.0026","10.12","0.0285"
"priority_latency_queue_energy","default","utility_mean","0.354","0.3388","-0.0152","-4.28","0.0038"
"priority_latency_queue_energy","default","response_time_mean","2.9314","3.0103","0.0789","2.69","0.0047"
"priority_latency_queue_energy","default","average_queue_length","0.5837","0.5996","0.016","2.73","0.0031"
"priority_latency_queue_energy","high_congestion","resource_utilization","0.8263","0.8362","0.0099","1.2","0.0031"
"priority_latency_queue_energy","moderate_congestion","resource_utilization","0.7412","0.7503","0.0092","1.24","0.0014"
"priority_latency_queue_energy","moderate_congestion","load_variance","0.0256","0.028","0.0023","9.07","0.0265"
"priority_latency_queue_energy","moderate_congestion","jains_fairness_index","0.9495","0.9458","-0.0037","-0.39","0.0485"
